Site,Latitude,Longitude,Elevation (m),Camera AGL (m),Azimuth,URLN,URLE,URLS,URLW
69Bravo,34.074584,-118.627886,748,5,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/69bravo-w-mobo-c.jpg
Boucher Hill,33.334621,-116.919379,1664,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bh-w-mobo-c.jpg
Black Mountain,32.981533,-117.116325,475,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bl-w-mobo-c.jpg
Big Black,33.159918,-116.808073,1236,4,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/bm-w-mobo-c.jpg
Chino Hills,33.913838,-117.738295,541,8,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/chino-w-mobo-c.jpg
Cuyamaca,32.94642,-116.606681,1980,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/cp-w-mobo-c.jpg
Green Peak,34.086415,-118.548778,592,15,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/dwpgm-w-mobo-c.jpg
High Point,33.363017,-116.836221,1871,20,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/hp-w-mobo-c.jpg
Lyons Peak,32.701535,-116.764569,1132,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/lp-w-mobo-c.jpg
Upper Talega,33.519102,-117.480964,689,7,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/marconi-w-mobo-c.jpg
Mesa Grande,33.188909,-116.760598,1304,20,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mg-w-mobo-c.jpg
Monument Peak,32.892248,-116.420871,1910,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ml-w-mobo-c.jpg
Mt Laguna Observatory,32.839655,-116.426511,1872,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/mlo-w-mobo-c.jpg
Mt Soledad,32.839899,-117.248574,220,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/ms-n-mobo-c.jpg,,,
Otay Mountain,32.594801,-116.844701,1087,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/om-w-mobo-c.jpg
Los Pinos,32.734671,-116.577749,1465,15,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/pi-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/pi-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/pi-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/pi-w-mobo-c.jpg
Red Mountain,33.400792,-117.190469,483,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/rm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/rm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/rm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/rm-w-mobo-c.jpg
San Clemente,33.431428,-117.597393,268,15,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sclm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sclm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sclm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sclm-w-mobo-c.jpg
Santiago,33.71115,Â -117.534103,1728,30,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/stgo-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/stgo-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/stgo-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/stgo-w-mobo-c.jpg
SDSC,32.884421,-117.239676,125,30,90,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sdsc-e-mobo-c.jpg,,,
Sagebrush Flats,33.53656,-116.59299,1468,5,45,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sgbf-mobo-c.jpg,,,
Signal Peak,33.605201,-117.81091,358,10,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/signal-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/signal-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/signal-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/signal-w-mobo-c.jpg
San Juan Hills,33.502922,-117.603147,342,20,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sjh-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sjh-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sjh-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sjh-w-mobo-c.jpg
SMER TCS3,33.452747,-117.178623,427,4,90,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs3-mobo-c.jpg,,,
SMER TCS8,33.460765,-117.146776,629,4,270,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs8-mobo-c.jpg,,,
SMER TCS9,33.452159,-117.144299,717,5,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs9-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs9-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs9-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/smer-tcs9-w-mobo-c.jpg
San Miguel,32.696862,-116.936117,773,35,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sm-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sm-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sm-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sm-w-mobo-c.jpg
Sky Oaks,33.378659,-116.622291,1512,4,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sojr-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sojr-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sojr-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/sojr-w-mobo-c.jpg
Upper Bell,33.612445,-117.548648,534,5,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/starr-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/starr-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/starr-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/starr-w-mobo-c.jpg
Santa Ynez Peak,34.52707,-119.97887,1310,25,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/syp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/syp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/syp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/syp-w-mobo-c.jpg
Tijuana Estuary,32.55957,-117.12886,3,3,315,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/tje-1-mobo-c.jpg,,,
Toro Peak,33.52351,-116.425689,2657,25,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/tp-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/tp-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/tp-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/tp-w-mobo-c.jpg
Vic Trace,34.405368,-119.715598,140,5,45,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/victrace-ne-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/victrace-nw-mobo-c.jpg,,
Volcan Tract III,33.138258,-116.617024,1670,20,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/vo-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/vo-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/vo-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/vo-w-mobo-c.jpg
Mt Woodson,33.008732,-116.970913,877,25,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wc-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wc-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wc-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wc-w-mobo-c.jpg
Mt Wilson,34.224509,-118.058668,1713,50,0,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wilson-n-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wilson-e-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wilson-s-mobo-c.jpg,http://c1.hpwren.ucsd.edu/archive/incoming/cameras/wilson-w-mobo-c.jpg